hero1,hero2
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,IRON MAN/TONY STARK 
CAPTAIN AMERICA,HAWK
"CARTER, SHARON",CAPTAIN AMERICA
CAPTAIN AMERICA,HAWK
HAWK,CAPTAIN AMERICA
HAWK,"CARTER, SHARON"
"CARTER, SHARON",CAPTAIN AMERICA
CAPTAIN AMERICA,RED SKULL/JOHANN SCH
CAPTAIN AMERICA,"CARTER, SHARON"
CAPTAIN AMERICA,"FURY, COL. NICHOLAS "
"FURY, COL. NICHOLAS ","CARTER, SHARON"
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,"CARTER, SHARON"
CAPTAIN AMERICA,"FURY, COL. NICHOLAS "
"FURY, COL. NICHOLAS ",IRON MAN/TONY STARK 
"FURY, COL. NICHOLAS ","CARTER, SHARON"
"CARTER, SHARON",IRON MAN/TONY STARK 
CAPTAIN AMERICA,FALCON/SAM WILSON
"FURY, COL. NICHOLAS ",CAPTAIN AMERICA
"FURY, COL. NICHOLAS ",BLACK PANTHER/T'CHAL
"FURY, COL. NICHOLAS ",ANT-MAN/DR. HENRY J.
"FURY, COL. NICHOLAS ",WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,BLACK PANTHER/T'CHAL
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,CAPTAIN AMERICA
FALCON/SAM WILSON,"FURY, COL. NICHOLAS "
FALCON/SAM WILSON,CAPTAIN AMERICA
CAPTAIN AMERICA,"FURY, COL. NICHOLAS "
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,"FURY, COL. NICHOLAS "
"FURY, COL. NICHOLAS ",IRON MAN/TONY STARK 
CAPTAIN AMERICA,"CARTER, SHARON"
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,FALCON/SAM WILSON
FALCON/SAM WILSON,IRON MAN/TONY STARK 
CAPTAIN AMERICA,FALCON/SAM WILSON
FALCON/SAM WILSON,BLACK PANTHER/T'CHAL
FALCON/SAM WILSON,CAPTAIN AMERICA
CAPTAIN AMERICA,BLACK PANTHER/T'CHAL
CAPTAIN AMERICA,FALCON/SAM WILSON
"BANNER, BETTY ROSS T",CAPTAIN MARVEL/CAPTA
"FURY, COL. NICHOLAS ",THOR/DR. DONALD BLAK
"FURY, COL. NICHOLAS ",CAPTAIN AMERICA
"FURY, COL. NICHOLAS ",SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,THOR/DR. DONALD BLAK
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
CAPTAIN MARVEL/CAPTA,"BANNER, BETTY ROSS T"
ANCIENT ONE,DR. STRANGE/STEPHEN 
THOR/DR. DONALD BLAK,"KINCAID, DR. JANE FO"
THOR/DR. DONALD BLAK,ANT-MAN II/SCOTT HAR
ANT-MAN II/SCOTT HAR,"KINCAID, DR. JANE FO"
SPIDER-MAN/PETER PAR,IRON MAN/TONY STARK 
SPIDER-MAN/PETER PAR,VISION 
SPIDER-MAN/PETER PAR,THOR/DR. DONALD BLAK
SPIDER-MAN/PETER PAR,SCARLET WITCH/WANDA 
SPIDER-MAN/PETER PAR,CAPTAIN AMERICA
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,VISION 
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
CAPTAIN AMERICA,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
SCARLET WITCH/WANDA ,VISION 
SCARLET WITCH/WANDA ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
THOR/DR. DONALD BLAK,VISION 
VISION ,IRON MAN/TONY STARK 
HULK III/BRUCE BANNE,BLACK PANTHER/T'CHAL
SCARLET WITCH/WANDA ,SPIDER-MAN/PETER PAR
BLACK WIDOW/NATASHA ,CAPTAIN AMERICA
BLACK WIDOW/NATASHA ,THANOS
BLACK WIDOW/NATASHA ,VISION 
BLACK WIDOW/NATASHA ,GAMORA
BLACK WIDOW/NATASHA ,DRAX/ARTHUR DOUGLAS
BLACK WIDOW/NATASHA ,IRON MAN/TONY STARK 
BLACK WIDOW/NATASHA ,DR. STRANGE/STEPHEN 
BLACK WIDOW/NATASHA ,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
SCARLET WITCH/WANDA ,THANOS
SCARLET WITCH/WANDA ,VISION 
SCARLET WITCH/WANDA ,GAMORA
SCARLET WITCH/WANDA ,DRAX/ARTHUR DOUGLAS
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
SCARLET WITCH/WANDA ,DR. STRANGE/STEPHEN 
DR. STRANGE/STEPHEN ,CAPTAIN AMERICA
DR. STRANGE/STEPHEN ,THANOS
DR. STRANGE/STEPHEN ,VISION 
DR. STRANGE/STEPHEN ,GAMORA
DR. STRANGE/STEPHEN ,DRAX/ARTHUR DOUGLAS
DR. STRANGE/STEPHEN ,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,THANOS
IRON MAN/TONY STARK ,VISION 
IRON MAN/TONY STARK ,GAMORA
IRON MAN/TONY STARK ,DRAX/ARTHUR DOUGLAS
DRAX/ARTHUR DOUGLAS,CAPTAIN AMERICA
DRAX/ARTHUR DOUGLAS,THANOS
DRAX/ARTHUR DOUGLAS,VISION 
DRAX/ARTHUR DOUGLAS,GAMORA
GAMORA,CAPTAIN AMERICA
GAMORA,THANOS
GAMORA,VISION 
VISION ,CAPTAIN AMERICA
VISION ,THANOS
THANOS,CAPTAIN AMERICA
CAPTAIN AMERICA,"FURY, COL. NICHOLAS "
CAPTAIN AMERICA,BUCKY/BUCKY BARNES
BUCKY/BUCKY BARNES,"FURY, COL. NICHOLAS "
ANT-MAN II/SCOTT HAR,THOR/DR. DONALD BLAK
ANT-MAN II/SCOTT HAR,CAPTAIN AMERICA
ANT-MAN II/SCOTT HAR,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,THOR/DR. DONALD BLAK
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
ANT-MAN II/SCOTT HAR,CAPTAIN AMERICA
ANT-MAN II/SCOTT HAR,THOR/DR. DONALD BLAK
ANT-MAN II/SCOTT HAR,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,ANT-MAN II/SCOTT HAR
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
CAPTAIN AMERICA,ANT-MAN II/SCOTT HAR
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
CAPTAIN AMERICA,SCARLET WITCH/WANDA 
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA 
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA 
THOR/DR. DONALD BLAK,RED SKULL/JOHANN SCH
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
RED SKULL/JOHANN SCH,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
BLACK WIDOW/NATASHA ,WASP/JANET VAN DYNE 
BLACK WIDOW/NATASHA ,SCARLET WITCH/WANDA 
BLACK WIDOW/NATASHA ,BLACK PANTHER/T'CHAL
BLACK WIDOW/NATASHA ,CAPTAIN AMERICA
BLACK WIDOW/NATASHA ,RED SKULL/JOHANN SCH
BLACK WIDOW/NATASHA ,"FURY, COL. NICHOLAS "
BLACK WIDOW/NATASHA ,SPIDER-MAN/PETER PAR
BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.
BLACK WIDOW/NATASHA ,THOR/DR. DONALD BLAK
BLACK WIDOW/NATASHA ,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
IRON MAN/TONY STARK ,BLACK PANTHER/T'CHAL
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,RED SKULL/JOHANN SCH
IRON MAN/TONY STARK ,"FURY, COL. NICHOLAS "
IRON MAN/TONY STARK ,SPIDER-MAN/PETER PAR
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA 
THOR/DR. DONALD BLAK,BLACK PANTHER/T'CHAL
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,RED SKULL/JOHANN SCH
THOR/DR. DONALD BLAK,"FURY, COL. NICHOLAS "
THOR/DR. DONALD BLAK,SPIDER-MAN/PETER PAR
THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA 
ANT-MAN/DR. HENRY J.,BLACK PANTHER/T'CHAL
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,RED SKULL/JOHANN SCH
ANT-MAN/DR. HENRY J.,"FURY, COL. NICHOLAS "
ANT-MAN/DR. HENRY J.,SPIDER-MAN/PETER PAR
SPIDER-MAN/PETER PAR,WASP/JANET VAN DYNE 
SPIDER-MAN/PETER PAR,SCARLET WITCH/WANDA 
SPIDER-MAN/PETER PAR,BLACK PANTHER/T'CHAL
SPIDER-MAN/PETER PAR,CAPTAIN AMERICA
SPIDER-MAN/PETER PAR,RED SKULL/JOHANN SCH
SPIDER-MAN/PETER PAR,"FURY, COL. NICHOLAS "
"FURY, COL. NICHOLAS ",WASP/JANET VAN DYNE 
"FURY, COL. NICHOLAS ",SCARLET WITCH/WANDA 
"FURY, COL. NICHOLAS ",BLACK PANTHER/T'CHAL
"FURY, COL. NICHOLAS ",CAPTAIN AMERICA
"FURY, COL. NICHOLAS ",RED SKULL/JOHANN SCH
RED SKULL/JOHANN SCH,WASP/JANET VAN DYNE 
RED SKULL/JOHANN SCH,SCARLET WITCH/WANDA 
RED SKULL/JOHANN SCH,BLACK PANTHER/T'CHAL
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
CAPTAIN AMERICA,SCARLET WITCH/WANDA 
CAPTAIN AMERICA,BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,WASP/JANET VAN DYNE 
BLACK PANTHER/T'CHAL,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
CAPTAIN AMERICA,SCARLET WITCH/WANDA 
VISION ,SCARLET WITCH/WANDA 
VISION ,CAPTAIN AMERICA
CAPTAIN AMERICA,SCARLET WITCH/WANDA 
"CARTER, SHARON",CAPTAIN AMERICA
"CARTER, SHARON",CAPTAIN AMERICA
VULTURE/ADRIAN TOOME,SPIDER-MAN/PETER PAR
"BANNER, BETTY ROSS T",FALCON/SAM WILSON
ABOMINATION/EMIL BLO,"BANNER, BETTY ROSS T"
DR. STRANGE/STEPHEN ,ABOMINATION/EMIL BLO
DR. STRANGE/STEPHEN ,SPIDER-MAN/PETER PAR
DR. STRANGE/STEPHEN ,WONG
DR. STRANGE/STEPHEN ,"BANNER, BETTY ROSS T"
"BANNER, BETTY ROSS T",ABOMINATION/EMIL BLO
"BANNER, BETTY ROSS T",SPIDER-MAN/PETER PAR
"BANNER, BETTY ROSS T",WONG
WONG,ABOMINATION/EMIL BLO
WONG,SPIDER-MAN/PETER PAR
SPIDER-MAN/PETER PAR,ABOMINATION/EMIL BLO
ABOMINATION/EMIL BLO,"BANNER, BETTY ROSS T"
"BANNER, BETTY ROSS T","FURY, COL. NICHOLAS "
"CARTER, SHARON",SPIDER-MAN/PETER PAR
VULTURE/ADRIAN TOOME,SPIDER-MAN/PETER PAR
HEIMDALL [ASGARDIAN],ODIN [ASGARDIAN]
VULTURE/ADRIAN TOOME,SPIDER-MAN/PETER PAR
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
HAWK,ANT-MAN/DR. HENRY J.
HAWK,ANT-MAN II/SCOTT HAR
HAWK,WASP/JANET VAN DYNE 
HAWK,BLACK WIDOW/NATASHA 
BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.
BLACK WIDOW/NATASHA ,ANT-MAN II/SCOTT HAR
BLACK WIDOW/NATASHA ,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
WASP/JANET VAN DYNE ,ANT-MAN II/SCOTT HAR
ANT-MAN II/SCOTT HAR,ANT-MAN/DR. HENRY J.
BLACK PANTHER/T'CHAL,THOR/DR. DONALD BLAK
BLACK PANTHER/T'CHAL,VISION 
BLACK PANTHER/T'CHAL,HAWK
BLACK PANTHER/T'CHAL,ANT-MAN II/SCOTT HAR
ANT-MAN II/SCOTT HAR,THOR/DR. DONALD BLAK
ANT-MAN II/SCOTT HAR,VISION 
ANT-MAN II/SCOTT HAR,HAWK
HAWK,THOR/DR. DONALD BLAK
HAWK,VISION 
VISION ,THOR/DR. DONALD BLAK
BLACK WIDOW/NATASHA ,SCARLET WITCH/WANDA 
BLACK WIDOW/NATASHA ,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
THOR/DR. DONALD BLAK,SPIDER-MAN/PETER PAR
THOR/DR. DONALD BLAK,HAWK
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
CAPTAIN AMERICA,SPIDER-MAN/PETER PAR
CAPTAIN AMERICA,HAWK
HAWK,SPIDER-MAN/PETER PAR
CAPTAIN AMERICA,"CARTER, SHARON"
CAPTAIN AMERICA,"CARTER, PEGGY"
"CARTER, PEGGY","CARTER, SHARON"
MAN-APE/M'BAKU,HAWK
"CARTER, SHARON",CAPTAIN AMERICA
"CARTER, SHARON",RED SKULL/JOHANN SCH
"CARTER, SHARON","FURY, COL. NICHOLAS "
"FURY, COL. NICHOLAS ",CAPTAIN AMERICA
"FURY, COL. NICHOLAS ",RED SKULL/JOHANN SCH
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
HAWK,WHIPLASH/MARK SCARLO
HAWK,SCARLET WITCH/WANDA 
WHIPLASH/MARK SCARLO,HAWK
CAPTAIN AMERICA,"FURY, COL. NICHOLAS "
CAPTAIN AMERICA,"CARTER, SHARON"
SPIDER-MAN/PETER PAR,DR. STRANGE/STEPHEN 
CAPTAIN AMERICA,"CARTER, PEGGY"
RED SKULL/JOHANN SCH,ANT-MAN/DR. HENRY J.
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
CAPTAIN AMERICA,ANT-MAN/DR. HENRY J.
RED SKULL/JOHANN SCH,LOKI [ASGARDIAN]
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
RED SKULL/JOHANN SCH,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,LOKI [ASGARDIAN]
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
CAPTAIN AMERICA,LOKI [ASGARDIAN]
"CARTER, PEGGY",LOKI [ASGARDIAN]
"CARTER, PEGGY",CAPTAIN AMERICA
"CARTER, PEGGY",RED SKULL/JOHANN SCH
RED SKULL/JOHANN SCH,LOKI [ASGARDIAN]
RED SKULL/JOHANN SCH,CAPTAIN AMERICA
CAPTAIN AMERICA,LOKI [ASGARDIAN]
CAPTAIN AMERICA,RED SKULL/JOHANN SCH
CAPTAIN AMERICA,"CARTER, PEGGY"
"FURY, COL. NICHOLAS ",SPIDER-MAN/PETER PAR
HAWK,SPIDER-MAN/PETER PAR
BLACK WIDOW/NATASHA ,SPIDER-MAN/PETER PAR
THOR/DR. DONALD BLAK,ODIN [ASGARDIAN]
"BANNER, BETTY ROSS T",ANT-MAN II/SCOTT HAR
DR. STRANGE/STEPHEN ,WONG
DR. STRANGE/STEPHEN ,WONG
WONG,DR. STRANGE/STEPHEN 
WONG,IRON MAN/TONY STARK 
WONG,DR. STRANGE/STEPHEN 
WONG,CAPTAIN AMERICA
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,DR. STRANGE/STEPHEN 
DR. STRANGE/STEPHEN ,IRON MAN/TONY STARK 
HEIMDALL [ASGARDIAN],THOR/DR. DONALD BLAK
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
SCARLET WITCH/WANDA ,ANT-MAN/DR. HENRY J.
SCARLET WITCH/WANDA ,HAWK
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
SCARLET WITCH/WANDA ,BLACK PANTHER/T'CHAL
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
SCARLET WITCH/WANDA ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.
THOR/DR. DONALD BLAK,HAWK
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
THOR/DR. DONALD BLAK,BLACK PANTHER/T'CHAL
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
WASP/JANET VAN DYNE ,HAWK
WASP/JANET VAN DYNE ,IRON MAN/TONY STARK 
WASP/JANET VAN DYNE ,BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,CAPTAIN AMERICA
BLACK PANTHER/T'CHAL,ANT-MAN/DR. HENRY J.
BLACK PANTHER/T'CHAL,HAWK
BLACK PANTHER/T'CHAL,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
IRON MAN/TONY STARK ,HAWK
HAWK,CAPTAIN AMERICA
HAWK,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
BLACK WIDOW/NATASHA ,CAPTAIN AMERICA
BLACK WIDOW/NATASHA ,CAPTAIN AMERICA
CAPTAIN AMERICA,BLACK WIDOW/NATASHA 
"FURY, COL. NICHOLAS ",CAPTAIN AMERICA
"FURY, COL. NICHOLAS ",BUCKY/BUCKY BARNES
BUCKY/BUCKY BARNES,CAPTAIN AMERICA
DR. STRANGE/STEPHEN ,ANCIENT ONE
THOR/DR. DONALD BLAK,ODIN [ASGARDIAN]
IRON MAN/TONY STARK ,WAR MACHINE II/PARNE
IRON MAN/TONY STARK ,WAR MACHINE II/PARNE
IRON MAN/TONY STARK ,"KINCAID, DR. JANE FO"
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,"KINCAID, DR. JANE FO"
"KINCAID, DR. JANE FO",WAR MACHINE II/PARNE
"KINCAID, DR. JANE FO",IRON MAN/TONY STARK 
"KINCAID, DR. JANE FO",ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,WAR MACHINE II/PARNE
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,WAR MACHINE II/PARNE
IRON MAN/TONY STARK ,BLACK WIDOW/NATASHA 
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
CAPTAIN AMERICA,BLACK WIDOW/NATASHA 
CAPTAIN AMERICA,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,BLACK WIDOW/NATASHA 
"KINCAID, DR. JANE FO",IRON MAN/TONY STARK 
"KINCAID, DR. JANE FO",WAR MACHINE II/PARNE
"KINCAID, DR. JANE FO",BLACK WIDOW/NATASHA 
BLACK WIDOW/NATASHA ,IRON MAN/TONY STARK 
BLACK WIDOW/NATASHA ,WAR MACHINE II/PARNE
WAR MACHINE II/PARNE,IRON MAN/TONY STARK 
HAWK,CAPTAIN AMERICA
DR. STRANGE/STEPHEN ,WONG
VISION ,WASP/JANET VAN DYNE 
VISION ,SCARLET WITCH/WANDA 
VISION ,MANTIS/? BRANDT
VISION ,ANT-MAN/DR. HENRY J.
VISION ,HAWK
HAWK,WASP/JANET VAN DYNE 
HAWK,SCARLET WITCH/WANDA 
HAWK,MANTIS/? BRANDT
HAWK,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA 
ANT-MAN/DR. HENRY J.,MANTIS/? BRANDT
MANTIS/? BRANDT,WASP/JANET VAN DYNE 
MANTIS/? BRANDT,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
WASP/JANET VAN DYNE ,HAWK
WASP/JANET VAN DYNE ,SCARLET WITCH/WANDA 
WASP/JANET VAN DYNE ,VISION 
VISION ,ANT-MAN/DR. HENRY J.
VISION ,HAWK
VISION ,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,ANT-MAN/DR. HENRY J.
SCARLET WITCH/WANDA ,HAWK
HAWK,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,HAWK
ANT-MAN/DR. HENRY J.,VISION 
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,HAWK
SCARLET WITCH/WANDA ,VISION 
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,HAWK
WASP/JANET VAN DYNE ,VISION 
VISION ,HAWK
HAWK,VISION 
HAWK,SCARLET WITCH/WANDA 
HAWK,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,VISION 
ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,VISION 
ANT-MAN/DR. HENRY J.,VISION 
ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA 
ANT-MAN/DR. HENRY J.,HAWK
HAWK,VISION 
HAWK,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,VISION 
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,HAWK
HAWK,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,HAWK
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,HAWK
SCARLET WITCH/WANDA ,HAWK
SCARLET WITCH/WANDA ,ANT-MAN/DR. HENRY J.
SCARLET WITCH/WANDA ,VISION 
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,HAWK
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
IRON MAN/TONY STARK ,VISION 
VISION ,HAWK
VISION ,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,HAWK
ANT-MAN II/SCOTT HAR,"KINCAID, DR. JANE FO"
ANT-MAN II/SCOTT HAR,"KINCAID, DR. JANE FO"
VISION ,SCARLET WITCH/WANDA 
VISION ,MANTIS/? BRANDT
VISION ,HAWK
HAWK,SCARLET WITCH/WANDA 
HAWK,MANTIS/? BRANDT
MANTIS/? BRANDT,SCARLET WITCH/WANDA 
IRON MAN/TONY STARK ,"BANNER, BETTY ROSS T"
"BANNER, BETTY ROSS T",THOR/DR. DONALD BLAK
"BANNER, BETTY ROSS T",IRON MAN/TONY STARK 
BLACK WIDOW/NATASHA ,SPIDER-MAN/PETER PAR
LOKI [ASGARDIAN],THOR/DR. DONALD BLAK
HELA [ASGARDIAN],LOKI [ASGARDIAN]
HELA [ASGARDIAN],HEIMDALL [ASGARDIAN]
HELA [ASGARDIAN],THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,LOKI [ASGARDIAN]
THOR/DR. DONALD BLAK,HEIMDALL [ASGARDIAN]
HEIMDALL [ASGARDIAN],LOKI [ASGARDIAN]
HEIMDALL [ASGARDIAN],THOR/DR. DONALD BLAK
HEIMDALL [ASGARDIAN],LOKI [ASGARDIAN]
LOKI [ASGARDIAN],THOR/DR. DONALD BLAK
ODIN [ASGARDIAN],VISION 
ODIN [ASGARDIAN],HEIMDALL [ASGARDIAN]
ODIN [ASGARDIAN],THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,VISION 
THOR/DR. DONALD BLAK,HEIMDALL [ASGARDIAN]
HEIMDALL [ASGARDIAN],VISION 
THOR/DR. DONALD BLAK,ODIN [ASGARDIAN]
THOR/DR. DONALD BLAK,HEIMDALL [ASGARDIAN]
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,ODIN [ASGARDIAN]
SCARLET WITCH/WANDA ,HEIMDALL [ASGARDIAN]
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,ODIN [ASGARDIAN]
WASP/JANET VAN DYNE ,HEIMDALL [ASGARDIAN]
HEIMDALL [ASGARDIAN],ODIN [ASGARDIAN]
ODIN [ASGARDIAN],THOR/DR. DONALD BLAK
ODIN [ASGARDIAN],SCARLET WITCH/WANDA 
ODIN [ASGARDIAN],LOKI [ASGARDIAN]
ODIN [ASGARDIAN],VISION 
VISION ,THOR/DR. DONALD BLAK
VISION ,SCARLET WITCH/WANDA 
VISION ,LOKI [ASGARDIAN]
LOKI [ASGARDIAN],THOR/DR. DONALD BLAK
LOKI [ASGARDIAN],SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,THOR/DR. DONALD BLAK
ODIN [ASGARDIAN],VISION 
HEIMDALL [ASGARDIAN],LOKI [ASGARDIAN]
HEIMDALL [ASGARDIAN],THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,LOKI [ASGARDIAN]
